,filename,cell_type,xmin,xmax,ymin,ymax
133,7.jpg,RBC,495,601,300,402
134,7.jpg,RBC,534,640,371,473
135,7.jpg,RBC,510,616,7,109
136,7.jpg,RBC,515,639,44,152
137,7.jpg,RBC,18,142,124,232
138,7.jpg,RBC,70,194,63,171
139,7.jpg,RBC,19,143,29,137
140,7.jpg,RBC,270,392,1,71
141,7.jpg,RBC,254,340,427,480
142,7.jpg,RBC,298,381,434,480
143,8.jpg,WBC,42,277,183,381
144,8.jpg,RBC,398,519,222,330
145,8.jpg,RBC,505,626,103,211
146,8.jpg,RBC,366,472,315,413
147,8.jpg,RBC,456,562,312,410
148,8.jpg,RBC,524,630,250,348
149,8.jpg,RBC,534,640,335,433
150,8.jpg,RBC,353,459,43,141
151,8.jpg,RBC,316,422,43,141
152,8.jpg,RBC,265,371,25,123
153,8.jpg,RBC,221,327,18,116
154,8.jpg,RBC,109,221,1,85
155,8.jpg,RBC,1,96,166,299
156,8.jpg,RBC,263,365,402,480
157,8.jpg,RBC,178,280,402,480
158,8.jpg,RBC,1,102,1,77
159,8.jpg,RBC,196,313,135,215
160,8.jpg,RBC,447,607,392,480
161,8.jpg,RBC,148,234,62,172
162,8.jpg,RBC,438,564,1,85
163,9.jpg,WBC,23,255,137,423
164,9.jpg,RBC,441,575,324,423
165,9.jpg,RBC,372,468,192,279
166,9.jpg,RBC,305,401,213,300
167,9.jpg,RBC,226,324,288,439
168,9.jpg,RBC,313,408,318,414
169,9.jpg,RBC,282,377,384,480
170,9.jpg,RBC,446,567,97,206
171,9.jpg,RBC,440,561,1,96
172,9.jpg,RBC,214,331,107,198
173,9.jpg,RBC,298,435,85,211
174,9.jpg,RBC,7,133,76,197
175,9.jpg,RBC,1,115,1,94
176,9.jpg,RBC,286,394,1,65
177,9.jpg,RBC,154,289,13,127
178,9.jpg,Platelets,452,493,415,449
179,9.jpg,RBC,479,575,155,242
180,9.jpg,RBC,135,231,393,480
181,10.jpg,WBC,23,204,229,421
182,10.jpg,WBC,239,510,253,470
183,10.jpg,RBC,167,269,212,331
184,10.jpg,RBC,69,170,138,243
185,10.jpg,RBC,43,126,84,171
186,10.jpg,RBC,275,358,166,253
187,10.jpg,RBC,311,394,179,266
188,10.jpg,RBC,267,350,69,156
189,10.jpg,RBC,307,390,75,162
190,10.jpg,RBC,339,422,80,167
191,10.jpg,RBC,456,550,1,68
192,10.jpg,RBC,314,429,1,69
193,10.jpg,RBC,200,310,1,43
194,10.jpg,RBC,16,100,1,79
195,10.jpg,RBC,406,538,80,185
196,10.jpg,RBC,560,640,236,345
197,10.jpg,RBC,571,640,174,260
198,10.jpg,RBC,566,640,76,160
199,11.jpg,WBC,109,304,119,332
200,11.jpg,RBC,364,453,201,279
201,11.jpg,RBC,416,505,167,245
202,11.jpg,RBC,459,548,111,189
203,11.jpg,RBC,462,551,142,240
204,11.jpg,RBC,505,576,163,240
205,11.jpg,RBC,476,583,235,332
206,11.jpg,RBC,14,117,296,409
207,11.jpg,RBC,220,313,8,112
208,11.jpg,RBC,342,435,48,152
209,11.jpg,RBC,317,434,74,180
210,11.jpg,RBC,258,352,79,171
211,11.jpg,RBC,404,498,291,394
212,11.jpg,RBC,199,293,337,440
213,11.jpg,RBC,85,211,372,477
214,11.jpg,RBC,104,212,1,117
215,11.jpg,Platelets,85,122,153,196
216,11.jpg,RBC,262,354,419,480
217,11.jpg,RBC,1,94,77,180
218,12.jpg,WBC,2,228,187,359
219,12.jpg,RBC,349,475,146,240
220,12.jpg,RBC,377,483,210,314
221,12.jpg,RBC,401,507,299,403
222,12.jpg,RBC,296,386,281,387
223,12.jpg,RBC,251,344,311,439
224,12.jpg,RBC,168,264,304,402
225,12.jpg,RBC,14,125,335,434
226,12.jpg,RBC,126,251,393,479
227,12.jpg,RBC,329,412,376,477
228,12.jpg,RBC,519,622,356,455
229,12.jpg,RBC,476,579,257,356
230,12.jpg,RBC,489,592,193,292
231,12.jpg,RBC,564,640,232,328
232,12.jpg,Platelets,417,463,403,440
233,12.jpg,Platelets,351,397,44,81
234,12.jpg,RBC,220,303,20,107
235,12.jpg,RBC,495,605,82,204
236,12.jpg,RBC,299,381,431,480
237,13.jpg,WBC,31,238,208,406
238,13.jpg,RBC,255,371,283,392
239,13.jpg,RBC,405,517,288,420
240,13.jpg,RBC,369,486,77,223
241,13.jpg,RBC,90,200,98,189
242,13.jpg,RBC,203,313,365,456
243,13.jpg,RBC,318,427,396,480
244,13.jpg,RBC,574,639,160,281
245,13.jpg,RBC,466,564,57,174
246,13.jpg,RBC,547,638,48,144
247,13.jpg,RBC,500,599,214,325
248,13.jpg,RBC,184,299,12,118
249,13.jpg,RBC,105,220,34,140
250,13.jpg,RBC,455,555,404,480
251,13.jpg,RBC,324,424,402,478
252,14.jpg,WBC,236,379,211,353
253,14.jpg,RBC,158,258,140,234
254,14.jpg,RBC,78,197,334,435
255,14.jpg,RBC,1,72,137,242
256,14.jpg,RBC,33,152,89,189
257,14.jpg,RBC,53,172,15,115
258,14.jpg,RBC,336,406,1,93
259,14.jpg,RBC,297,422,78,173
260,14.jpg,RBC,224,352,76,191
261,14.jpg,RBC,215,334,380,480
262,14.jpg,RBC,356,447,303,393
263,14.jpg,RBC,393,484,215,305
264,14.jpg,RBC,448,545,406,480
265,14.jpg,RBC,431,554,1,102
266,14.jpg,Platelets,362,405,389,428
267,14.jpg,Platelets,233,276,340,379
268,14.jpg,RBC,542,630,289,399
269,14.jpg,RBC,579,640,131,236
270,14.jpg,RBC,525,618,70,176
271,15.jpg,WBC,145,361,4,240
272,15.jpg,RBC,353,428,135,232
273,15.jpg,RBC,354,448,12,128
274,15.jpg,RBC,440,540,78,160
275,15.jpg,RBC,537,638,47,144
276,15.jpg,RBC,435,538,1,75
277,15.jpg,RBC,411,522,359,459
278,15.jpg,RBC,266,374,409,480
279,15.jpg,RBC,1,134,396,480
280,15.jpg,RBC,1,102,272,379
281,15.jpg,RBC,62,165,62,169
282,15.jpg,RBC,248,351,201,308
283,15.jpg,RBC,91,204,300,391
284,15.jpg,RBC,564,640,140,240
285,15.jpg,Platelets,291,337,373,410
286,15.jpg,RBC,373,484,202,302
287,16.jpg,WBC,151,329,118,279
288,16.jpg,RBC,121,242,323,440
289,16.jpg,RBC,324,418,115,236
290,16.jpg,RBC,450,542,329,442
291,16.jpg,RBC,427,519,364,477
292,16.jpg,RBC,230,346,333,449
293,16.jpg,RBC,448,549,91,168
294,16.jpg,RBC,570,640,290,403
295,16.jpg,RBC,523,637,69,174
296,16.jpg,RBC,334,451,219,337
297,16.jpg,RBC,449,566,227,345
298,16.jpg,RBC,66,160,155,276
299,16.jpg,Platelets,97,129,327,365
300,17.jpg,WBC,128,336,215,391
301,17.jpg,RBC,406,514,176,272
302,17.jpg,RBC,400,510,73,181
303,17.jpg,RBC,215,299,87,187
304,17.jpg,RBC,435,547,302,400
305,17.jpg,RBC,424,536,354,452
306,17.jpg,RBC,131,235,382,470
307,17.jpg,RBC,481,585,164,252
308,17.jpg,RBC,5,102,335,434
309,17.jpg,RBC,1,53,101,205
310,17.jpg,RBC,221,340,390,464
311,17.jpg,RBC,156,260,1,84
312,17.jpg,RBC,279,381,37,145
313,17.jpg,RBC,528,621,1,87
314,17.jpg,RBC,488,581,11,98
315,17.jpg,RBC,4,106,245,353
316,17.jpg,RBC,322,424,335,443
317,17.jpg,Platelets,382,419,47,79
318,18.jpg,WBC,302,481,1,166
319,18.jpg,RBC,167,307,100,197
320,18.jpg,RBC,210,319,1,64
321,18.jpg,RBC,561,639,74,183
322,18.jpg,RBC,130,230,26,125
323,18.jpg,RBC,74,164,189,277
324,18.jpg,RBC,304,394,162,250
325,18.jpg,RBC,363,453,163,251
326,18.jpg,RBC,410,500,152,240
327,18.jpg,RBC,430,520,131,219
328,18.jpg,RBC,483,573,109,197
329,18.jpg,RBC,541,631,276,364
330,18.jpg,RBC,572,640,181,287
331,18.jpg,RBC,286,375,424,480
332,18.jpg,RBC,308,421,240,325
333,18.jpg,RBC,189,278,345,423
334,18.jpg,RBC,1,89,213,340
335,18.jpg,RBC,67,182,324,447
336,18.jpg,RBC,17,131,45,168
337,18.jpg,RBC,21,114,1,86
338,18.jpg,RBC,243,333,189,277
339,18.jpg,RBC,241,331,259,347
340,19.jpg,WBC,107,295,97,267
341,19.jpg,RBC,41,126,158,280
342,19.jpg,RBC,410,513,315,430
343,19.jpg,RBC,524,627,332,447
344,19.jpg,RBC,461,564,348,463
345,19.jpg,RBC,227,343,398,480
346,19.jpg,RBC,133,249,398,480
347,19.jpg,RBC,125,241,366,448
348,19.jpg,RBC,373,476,150,243
349,19.jpg,RBC,492,595,196,289
350,19.jpg,RBC,297,428,201,315
351,19.jpg,RBC,532,615,48,142
352,19.jpg,RBC,1,56,122,255
353,19.jpg,RBC,88,237,1,93
354,19.jpg,RBC,231,317,251,336
355,19.jpg,RBC,164,270,284,376
356,19.jpg,RBC,320,423,133,226
357,20.jpg,Platelets,419,478,189,236
358,20.jpg,WBC,352,475,364,447
359,20.jpg,RBC,226,333,99,206
360,20.jpg,RBC,404,511,25,132
361,20.jpg,RBC,511,618,38,145
362,20.jpg,RBC,457,564,206,313
363,20.jpg,RBC,478,585,370,477
364,20.jpg,RBC,287,394,238,345
365,20.jpg,Platelets,372,406,343,374
366,20.jpg,RBC,40,147,277,384
367,20.jpg,RBC,1,79,277,379
368,20.jpg,RBC,80,187,166,273
369,20.jpg,RBC,143,250,245,352
370,20.jpg,RBC,144,251,366,473
371,20.jpg,RBC,142,249,364,471
372,20.jpg,RBC,109,216,41,148
373,20.jpg,RBC,460,567,59,166
374,20.jpg,RBC,570,640,256,357
375,20.jpg,RBC,61,169,383,480
376,20.jpg,RBC,1,106,128,235
377,20.jpg,RBC,40,149,1,95
378,20.jpg,RBC,165,274,1,95
379,20.jpg,Platelets,80,115,128,161
380,21.jpg,WBC,330,494,302,438
381,21.jpg,Platelets,375,422,103,146
382,21.jpg,Platelets,483,530,184,227
383,21.jpg,RBC,363,483,141,255
384,21.jpg,RBC,274,394,161,275
385,21.jpg,RBC,215,335,219,333
386,21.jpg,RBC,97,217,335,449
387,21.jpg,RBC,5,125,262,376
388,21.jpg,RBC,50,170,229,343
389,21.jpg,RBC,1,104,102,197
390,21.jpg,RBC,72,176,98,193
391,21.jpg,RBC,521,625,109,204
392,21.jpg,RBC,581,640,100,194
393,21.jpg,RBC,378,475,1,76
394,21.jpg,RBC,209,318,1,111
395,21.jpg,RBC,117,207,1,87
396,21.jpg,RBC,568,639,347,461
397,21.jpg,RBC,168,288,84,198
398,21.jpg,RBC,221,341,361,475
399,22.jpg,WBC,108,281,194,372
400,22.jpg,Platelets,99,138,329,360
401,22.jpg,Platelets,149,188,1,30
402,22.jpg,Platelets,394,433,199,230
403,22.jpg,RBC,17,130,163,255
404,22.jpg,RBC,1,113,197,289
405,22.jpg,RBC,289,392,142,234
406,22.jpg,RBC,340,443,81,173
407,22.jpg,RBC,275,392,22,126
408,22.jpg,RBC,441,579,59,163
409,22.jpg,RBC,471,579,143,263
410,22.jpg,RBC,557,639,359,480
411,22.jpg,RBC,406,538,374,480
412,22.jpg,RBC,272,389,389,480
413,22.jpg,RBC,378,482,249,349
414,22.jpg,RBC,15,100,12,147
415,23.jpg,WBC,98,281,34,206
416,23.jpg,RBC,277,387,113,233
417,23.jpg,RBC,388,498,82,202
418,23.jpg,RBC,306,416,243,363
419,23.jpg,RBC,186,291,268,381
420,23.jpg,RBC,296,423,364,480
421,23.jpg,RBC,511,638,147,263
422,23.jpg,RBC,62,174,414,480
423,23.jpg,RBC,37,141,1,76
424,23.jpg,RBC,29,117,152,247
425,23.jpg,RBC,494,594,1,74
426,23.jpg,RBC,572,640,264,345
427,23.jpg,RBC,524,640,354,453
428,23.jpg,RBC,15,109,220,334
429,23.jpg,Platelets,132,171,292,340
430,23.jpg,RBC,343,468,1,110
431,23.jpg,RBC,209,305,245,327
432,23.jpg,RBC,177,273,219,301
433,24.jpg,WBC,310,471,1,128
434,24.jpg,RBC,89,192,89,206
435,24.jpg,RBC,265,368,114,231
436,24.jpg,RBC,203,295,176,318
437,24.jpg,RBC,109,204,195,306
438,24.jpg,RBC,391,486,117,228
439,24.jpg,RBC,376,471,250,361
440,24.jpg,RBC,314,419,357,477
441,24.jpg,RBC,25,142,309,428
442,24.jpg,RBC,497,604,1,97
443,24.jpg,RBC,578,640,144,248
444,24.jpg,RBC,570,640,252,390
445,24.jpg,RBC,494,588,325,427
446,24.jpg,RBC,399,517,334,457
447,24.jpg,RBC,19,103,234,344
448,24.jpg,RBC,484,587,196,313
449,25.jpg,WBC,387,564,1,102
450,25.jpg,RBC,178,287,2,113
451,25.jpg,RBC,114,223,154,265
452,25.jpg,RBC,102,211,60,171
453,25.jpg,RBC,42,151,70,181
454,25.jpg,RBC,1,94,112,227
455,25.jpg,RBC,2,113,171,287
456,25.jpg,RBC,424,535,270,386
457,25.jpg,RBC,173,282,362,460
458,25.jpg,RBC,86,195,358,456
459,25.jpg,RBC,253,350,151,245
460,25.jpg,RBC,497,608,196,294
461,25.jpg,RBC,317,426,351,471
462,25.jpg,RBC,202,329,280,394
463,25.jpg,RBC,295,422,202,316
464,25.jpg,RBC,436,574,94,210
465,25.jpg,RBC,294,407,78,194
466,25.jpg,Platelets,146,186,269,304
467,25.jpg,Platelets,282,322,425,460
468,26.jpg,WBC,255,430,1,160
469,26.jpg,RBC,224,316,177,272
470,26.jpg,RBC,328,431,290,391
471,26.jpg,RBC,203,306,308,409
472,26.jpg,RBC,1,107,281,404
473,26.jpg,RBC,143,250,118,241
474,26.jpg,RBC,1,70,98,217
475,26.jpg,RBC,1,82,185,272
476,26.jpg,RBC,89,171,243,330
477,26.jpg,RBC,129,246,409,480
478,26.jpg,RBC,166,269,221,322
479,26.jpg,RBC,119,220,1,68
480,26.jpg,RBC,192,272,1,60
481,26.jpg,RBC,387,491,167,266
482,26.jpg,RBC,441,505,195,267
483,26.jpg,RBC,553,639,181,285
484,26.jpg,RBC,534,620,228,332
485,26.jpg,RBC,553,639,362,480
486,26.jpg,RBC,553,640,1,104
487,26.jpg,RBC,462,583,58,190
488,26.jpg,RBC,385,501,75,181
489,26.jpg,RBC,266,388,328,450
490,27.jpg,WBC,75,224,179,315
491,27.jpg,Platelets,440,495,283,317
492,27.jpg,RBC,241,358,86,199
493,27.jpg,RBC,212,293,48,142
494,27.jpg,RBC,364,463,143,228
495,27.jpg,RBC,424,545,137,228
496,27.jpg,RBC,227,348,193,300
497,27.jpg,RBC,207,328,265,372
498,27.jpg,RBC,139,260,320,427
499,27.jpg,RBC,256,377,365,472
500,27.jpg,RBC,390,511,356,463
501,27.jpg,RBC,506,624,110,196
502,27.jpg,RBC,517,638,57,148
503,27.jpg,RBC,421,526,8,107
504,27.jpg,RBC,70,200,23,145
505,27.jpg,RBC,19,129,70,186
506,27.jpg,RBC,1,87,128,251
507,27.jpg,RBC,1,79,194,318
508,27.jpg,RBC,1,75,264,366
509,27.jpg,RBC,1,75,310,412
510,27.jpg,RBC,24,105,355,459
511,27.jpg,RBC,11,103,423,480
512,27.jpg,RBC,207,300,1,51
513,27.jpg,RBC,275,365,1,74
514,28.jpg,WBC,1,143,191,333
515,28.jpg,RBC,123,230,249,370
516,28.jpg,RBC,149,229,113,219
517,28.jpg,RBC,198,278,117,223
518,28.jpg,RBC,195,264,58,144
519,28.jpg,RBC,291,383,270,377
520,28.jpg,RBC,324,429,402,480
521,28.jpg,RBC,359,464,402,480
522,28.jpg,RBC,375,472,239,340
523,28.jpg,RBC,457,554,191,292
524,28.jpg,RBC,299,415,174,277
525,28.jpg,RBC,458,556,387,480
526,28.jpg,RBC,1,75,322,425
527,28.jpg,RBC,1,67,63,191
528,28.jpg,RBC,297,428,1,81
529,28.jpg,RBC,500,597,238,339
530,28.jpg,RBC,485,582,281,382
531,28.jpg,RBC,473,570,338,439
532,28.jpg,RBC,572,640,356,455
533,28.jpg,RBC,525,640,7,148
534,28.jpg,RBC,445,558,35,159
535,28.jpg,Platelets,347,389,91,137
536,28.jpg,Platelets,405,447,86,132
537,28.jpg,Platelets,301,343,23,69
538,28.jpg,RBC,286,396,123,229
539,29.jpg,WBC,127,270,143,273
540,29.jpg,WBC,287,437,364,480
541,29.jpg,RBC,153,257,383,480
542,29.jpg,RBC,47,151,358,455
543,29.jpg,RBC,83,187,321,418
544,29.jpg,RBC,332,436,153,250
545,29.jpg,RBC,395,514,228,329
546,29.jpg,RBC,520,631,396,480
547,29.jpg,RBC,556,640,319,404
548,29.jpg,RBC,522,630,254,342
549,29.jpg,RBC,512,620,190,278
550,29.jpg,RBC,534,640,58,181
551,29.jpg,RBC,453,593,1,71
552,29.jpg,Platelets,241,298,381,426
553,29.jpg,Platelets,110,148,247,289
554,29.jpg,Platelets,343,381,108,150
555,29.jpg,Platelets,409,447,88,130
556,29.jpg,RBC,301,405,211,308
557,29.jpg,RBC,251,355,264,361
558,29.jpg,RBC,27,141,1,98
559,29.jpg,RBC,1,91,65,160
560,29.jpg,RBC,57,148,62,157
561,29.jpg,RBC,1,94,246,370
562,29.jpg,RBC,407,493,193,269
563,30.jpg,WBC,158,285,77,198
564,30.jpg,RBC,233,343,274,379
565,30.jpg,RBC,288,398,66,171
566,30.jpg,RBC,356,446,251,345
567,30.jpg,RBC,455,545,295,389
568,30.jpg,RBC,419,509,312,406
569,30.jpg,RBC,332,457,365,474
570,30.jpg,RBC,199,297,221,309
571,30.jpg,RBC,86,215,323,437
572,30.jpg,RBC,50,160,1,92
573,30.jpg,RBC,174,273,16,96
574,30.jpg,RBC,406,517,1,89
575,30.jpg,RBC,517,628,136,225
576,30.jpg,RBC,521,632,197,286
577,30.jpg,RBC,546,640,248,345
578,30.jpg,RBC,464,558,101,198
579,30.jpg,RBC,411,505,65,162
580,30.jpg,RBC,421,515,134,231
581,30.jpg,RBC,416,520,158,258
582,30.jpg,RBC,391,495,160,260
583,30.jpg,RBC,350,454,182,282
584,30.jpg,RBC,50,172,238,342
585,30.jpg,RBC,454,580,408,480
586,30.jpg,RBC,1,89,366,480
587,30.jpg,Platelets,102,140,105,151
588,31.jpg,WBC,129,280,109,251
589,31.jpg,RBC,83,192,230,332
590,31.jpg,RBC,303,394,238,359
591,31.jpg,RBC,276,346,245,365
592,31.jpg,RBC,244,314,269,389
593,31.jpg,RBC,219,289,287,407
594,31.jpg,RBC,190,260,291,411
595,31.jpg,RBC,442,551,219,321
596,31.jpg,RBC,391,500,207,309
597,31.jpg,RBC,468,577,303,405
598,31.jpg,RBC,575,640,331,434
599,31.jpg,RBC,568,640,89,185
600,31.jpg,RBC,532,640,36,134
601,31.jpg,RBC,350,465,74,185
602,31.jpg,RBC,297,414,1,91
603,31.jpg,RBC,348,463,369,480
604,31.jpg,RBC,177,286,389,480
605,31.jpg,RBC,68,163,22,131
606,31.jpg,RBC,198,291,1,89
607,32.jpg,WBC,350,543,181,359
608,32.jpg,WBC,310,458,351,480
609,32.jpg,Platelets,524,562,334,377
610,32.jpg,Platelets,52,90,85,128
611,32.jpg,RBC,127,259,130,270
612,32.jpg,RBC,97,205,298,415
613,32.jpg,RBC,1,107,336,453
614,32.jpg,RBC,62,174,407,480
615,32.jpg,RBC,518,602,1,98
616,32.jpg,RBC,484,568,17,128
617,32.jpg,RBC,452,537,34,145
618,32.jpg,RBC,409,494,54,165
619,32.jpg,RBC,358,443,84,195
620,32.jpg,RBC,555,640,282,393
621,32.jpg,RBC,571,640,352,464
622,32.jpg,RBC,102,175,23,128
623,32.jpg,RBC,143,226,22,126
624,32.jpg,RBC,278,372,16,121
625,32.jpg,RBC,207,320,283,401
626,33.jpg,WBC,183,334,285,425
627,33.jpg,RBC,160,266,155,279
628,33.jpg,RBC,1,105,29,153
629,33.jpg,RBC,89,196,103,215
630,33.jpg,RBC,41,147,168,280
631,33.jpg,RBC,82,189,234,346
632,33.jpg,RBC,32,138,260,372
633,33.jpg,RBC,1,102,345,444
634,33.jpg,RBC,292,395,401,480
635,33.jpg,RBC,381,487,319,419
636,33.jpg,RBC,456,534,312,419
637,33.jpg,RBC,478,594,277,406
638,33.jpg,RBC,567,640,243,353
639,33.jpg,RBC,559,640,389,480
640,33.jpg,RBC,504,607,97,185
641,33.jpg,RBC,374,533,83,207
642,33.jpg,RBC,305,408,1,88
643,33.jpg,RBC,243,346,146,234
644,33.jpg,RBC,316,419,236,324
645,33.jpg,Platelets,146,182,337,382
646,33.jpg,Platelets,108,144,352,397
647,33.jpg,Platelets,171,207,413,458
648,33.jpg,RBC,83,201,1,77
649,34.jpg,WBC,107,287,242,423
650,34.jpg,RBC,207,319,106,209
651,34.jpg,RBC,166,278,130,233
652,34.jpg,RBC,405,499,171,274
653,34.jpg,RBC,487,599,106,209
654,34.jpg,RBC,545,640,315,428
655,34.jpg,RBC,260,355,370,480
656,34.jpg,RBC,1,88,266,360
657,34.jpg,RBC,1,99,138,242
658,34.jpg,RBC,60,160,87,191
659,34.jpg,RBC,301,429,21,135
660,34.jpg,RBC,397,494,60,168
661,34.jpg,RBC,543,639,242,350
662,34.jpg,RBC,391,453,168,270
663,34.jpg,RBC,421,518,1,80
664,34.jpg,RBC,480,577,1,80
665,34.jpg,Platelets,162,198,91,126
666,34.jpg,RBC,468,562,264,367
667,34.jpg,RBC,107,210,1,86
668,34.jpg,RBC,70,205,389,477
669,35.jpg,WBC,421,541,302,420
670,35.jpg,RBC,187,291,107,225
671,35.jpg,RBC,272,375,89,180
672,35.jpg,RBC,251,354,175,266
673,35.jpg,RBC,268,371,199,290
674,35.jpg,RBC,529,636,130,252
675,35.jpg,RBC,553,640,191,296
676,35.jpg,RBC,479,566,215,320
677,35.jpg,RBC,448,535,186,291
678,35.jpg,RBC,410,497,177,282
679,35.jpg,RBC,362,449,156,261
680,35.jpg,RBC,520,607,33,138
681,35.jpg,RBC,479,566,26,131
682,35.jpg,RBC,389,476,15,120
683,35.jpg,RBC,96,183,382,471
684,35.jpg,RBC,14,101,320,409
685,35.jpg,RBC,17,104,76,165
686,35.jpg,RBC,14,115,136,238
687,35.jpg,RBC,37,138,171,273
688,35.jpg,RBC,48,147,5,81
689,35.jpg,RBC,113,212,13,89
690,35.jpg,RBC,126,225,31,107
691,35.jpg,RBC,543,640,335,440
692,35.jpg,RBC,331,424,436,480
693,35.jpg,RBC,179,292,305,411
694,35.jpg,RBC,145,258,241,347
